;;;;;;;Intakes (Year/month);Cuenta de case_id;;Outcome (Year/Month);Cuenta de case_id;;;
Animal Type;Totals;;Animal Type;Promedio de length_of_stay_days;;;2013;4182;;2013;3769;;;
Bird;586;;Bird;9;;;10;1589;;2014;18559;;;
Cat;46448;;Cat;22;;;11;1323;;2015;18485;;;
Dog;70438;;Dog;17;;;12;1270;;2016;17662;;;
Livestock;22;;Livestock;80;;;2014;18654;;2017;17643;;;
Other;6607;;Other;4;;;2015;18709;;2018;16734;;;
(en blanco);;;Total general;18;;;2016;17673;;2019;19768;;;
Total general;124101;;;;;;2017;17559;;2020;9771;;;
;;;;;;;2018;16975;;2021;1152;;;
;;;;;;;2019;19726;;(en blanco);558;;;
;;;;;;;2020;9585;;Total general;124101;;;
;;;;;;;2021;1038;;;;;;
;;;;;;;(en blanco);0;;;;;;
;;;;;;;Total general;124101;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Intake Age Group;Cuenta de case_id;;Intake Type;Cuenta de case_id;;Intake Condition;Cuenta de case_id;;;Outcome Type;Promedio de length_of_stay_days;M‡x. de length_of_stay_days;M’n. de length_of_stay_days;Cuenta de case_id
0-1 month;15691;;Abandoned;283;;Aged;430;;;Adoption;33;1522;0;54742
1-3 years;40816;;Euthanasia Request;257;;Behavior;20;;;Died;13;434;0;1146
1-6 months;28508;;Owner Surrender;24600;;Feral;108;;;Disposal;7;681;0;567
3-7 years;18674;;Public Assist;7618;;Injured;6638;;;Euthanasia;5;999;0;8337
6-12 months;9393;;Stray;86448;;Medical;63;;;Missing;49;259;0;68
7+ years;11012;;Wildlife;4895;;Normal;107936;;;Relocate;7;44;0;21
Unknown;7;;Total general;124101;;Nursing;3524;;;Return to Owner;3;216;0;21456
(en blanco);;;;;;Other;229;;;Rto-Adopt;18;476;0;697
Total general;124101;;;;;Pregnant;77;;;Transfer;9;1352;0;36489
;;;;;;Sick;5076;;;(en blanco);6;39;0;578
;;;;;;Total general;124101;;;Total general;18;1522;0;124101
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Totals;Outcome Type;;;;;;;;;;;;;
Intake Type;Adoption;Died;Disposal;Euthanasia;Missing;Relocate;Return to Owner;Rto-Adopt;Transfer;(en blanco);;;;
Abandoned;140;1;2;4;;;29;2;90;15;;;;
Euthanasia Request;14;3;2;199;;;6;;33;;;;;
Owner Surrender;15214;152;13;742;10;;1070;207;6959;233;;;;
Public Assist;1067;46;56;377;1;;5023;57;960;31;;;;
Stray;38300;807;112;2729;55;8;15326;431;28390;290;;;;
Wildlife;7;137;382;4286;2;13;2;;57;9;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Cuenta de length_of_stay_days;Etiquetas de columna;;;;;;;;;;;;;
Mixed or Pure Breed;Adoption;Died;Disposal;Euthanasia;Missing;Relocate;Return to Owner;Rto-Adopt;Transfer;(en blanco);Total general;;;
Mixed;46279;842;291;5721;58;11;17867;518;29895;13;101495;;;
Pure;8357;279;265;2541;9;8;3508;178;6204;5;21354;;;
(en blanco);;;;;;;;;;;;;;
Total general;54636;1121;556;8262;67;19;21375;696;36099;18;122849;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Animal/Outcome Count;Outcome Count;;;;;;;;;;;;;
Animal Type;Adoption;Died;Disposal;Euthanasia;Missing;Relocate;Return to Owner;Rto-Adopt;Transfer;(en blanco);;;;
Bird;205;19;28;118;1;10;33;;171;1;;;;
Cat;21065;681;76;1934;34;2;2192;143;20156;165;;;;
Dog;32944;255;36;1764;29;;19181;553;15281;395;;;;
Livestock;8;1;;1;;;4;;5;3;;;;
Other;520;190;427;4520;4;9;46;1;876;14;;;;